"","Time","DayOfWeek","Month","DayOfMonth","Year","Hour","Minute"
"1",2024-07-14 15:53:16,"Sun","Jul",14,2024,15,53
"2",2024-07-14 10:33:39,"Sun","Jul",14,2024,10,33
"3",2024-07-13 22:18:07,"Sat","Jul",13,2024,22,18
"4",2024-07-13 21:28:41,"Sat","Jul",13,2024,21,28
"5",2024-07-13 21:26:56,"Sat","Jul",13,2024,21,26
"6",2024-07-13 20:34:57,"Sat","Jul",13,2024,20,34
"7",2024-07-13 19:07:53,"Sat","Jul",13,2024,19,7
"8",2024-07-13 16:48:18,"Sat","Jul",13,2024,16,48
"9",2024-07-13 16:28:31,"Sat","Jul",13,2024,16,28
"10",2024-07-13 14:06:54,"Sat","Jul",13,2024,14,6
"11",2024-07-13 14:02:44,"Sat","Jul",13,2024,14,2
"12",2024-07-13 12:59:48,"Sat","Jul",13,2024,12,59
"13",2024-07-13 11:21:15,"Sat","Jul",13,2024,11,21
"14",2024-07-13 07:44:01,"Sat","Jul",13,2024,7,44
"15",2024-07-12 23:00:05,"Fri","Jul",12,2024,23,0
"16",2024-07-12 22:44:30,"Fri","Jul",12,2024,22,44
"17",2024-07-12 22:17:11,"Fri","Jul",12,2024,22,17
"18",2024-07-12 22:06:43,"Fri","Jul",12,2024,22,6
"19",2024-07-12 22:00:47,"Fri","Jul",12,2024,22,0
"20",2024-07-12 15:23:02,"Fri","Jul",12,2024,15,23
"21",2024-07-12 13:27:22,"Fri","Jul",12,2024,13,27
"22",2024-07-12 10:28:18,"Fri","Jul",12,2024,10,28
"23",2024-07-12 07:03:23,"Fri","Jul",12,2024,7,3
"24",2024-07-12 06:40:02,"Fri","Jul",12,2024,6,40
"25",2024-07-11 23:19:12,"Thu","Jul",11,2024,23,19
"26",2024-07-11 21:53:07,"Thu","Jul",11,2024,21,53
"27",2024-07-11 21:52:30,"Thu","Jul",11,2024,21,52
"28",2024-07-11 21:41:42,"Thu","Jul",11,2024,21,41
"29",2024-07-11 21:30:09,"Thu","Jul",11,2024,21,30
