"","LocationAbbr","LocationDesc","Income","YearStart","obesity","Overweight","fruit","veg","cardio","mus_car","carLong","muscle","noAct"
"1","AK","Alaska","$15,000 - $24,999",2013.5,30.6666666666667,32.65,47.5333333333333,27.4,51.2,21.0666666666667,34.6,33.1,26.1166666666667
"2","AK","Alaska","$25,000 - $34,999",2013.5,30.1833333333333,35.5333333333333,43.1,22.3666666666667,54.4666666666667,23.4,35,30.9666666666667,24.2666666666667
"3","AK","Alaska","$35,000 - $49,999",2013.5,30.2166666666667,36.8166666666667,39.7,19.1333333333333,57.3666666666667,23.8,36.0666666666667,33.9333333333333,21.4
"4","AK","Alaska","$50,000 - $74,999",2013.5,29.8166666666667,38.35,38.1666666666667,14.2666666666667,57.8666666666667,25.6333333333333,37.6666666666667,36.3,18.1333333333333
"5","AK","Alaska","$75,000 or greater",2013.5,28.45,40.3166666666667,33.8,12.8666666666667,62.5666666666667,27.8666666666667,40.3,36.5,15.0333333333333
"6","AK","Alaska","Data not reported",2013.5,21.7,36.5833333333333,43.7666666666667,26.3666666666667,52.4666666666667,24.1,33.0333333333333,35.8,24.0666666666667
"7","AK","Alaska","Less than $15,000",2013.5,31.9166666666667,30.4166666666667,51,33.2,48.7333333333333,17.7,34.4666666666667,27.1333333333333,30.4
"8","AL","Alabama","$15,000 - $24,999",2013.5,37.8166666666667,31.2166666666667,48.2,32.6666666666667,39.3666666666667,12.3,22.2,21.3666666666667,36.6333333333333
"9","AL","Alabama","$25,000 - $34,999",2013.5,34.5666666666667,33.9833333333333,48.4666666666667,28.5333333333333,42.4666666666667,15.1666666666667,27.2,25.7,31.9166666666667
"10","AL","Alabama","$35,000 - $49,999",2013.5,34.5666666666667,37.6166666666667,43.3333333333333,22.3333333333333,46.7666666666667,16.8666666666667,26.1666666666667,25.8333333333333,26.3166666666667
"11","AL","Alabama","$50,000 - $74,999",2013.5,34.3,38.4166666666667,44,18.5666666666667,46.2666666666667,19.4666666666667,27.7333333333333,29.0333333333333,24.3166666666667
"12","AL","Alabama","$75,000 or greater",2013.5,30.4666666666667,36.9666666666667,42.1,16.2333333333333,53.4333333333333,20.6666666666667,30.4333333333333,29.7,18.2166666666667
"13","AL","Alabama","Data not reported",2013.5,28.4,33.7166666666667,46.6333333333333,28.6333333333333,40.1666666666667,14.7,23.7,24.7666666666667,33.7
"14","AL","Alabama","Less than $15,000",2013.5,38.55,27.9166666666667,51.1,37.5666666666667,38.4666666666667,10.7666666666667,22.8666666666667,18.3,41.4833333333333
"15","AR","Arkansas","$15,000 - $24,999",2013.5,34.4666666666667,33.6,52.4,34.1,38.3333333333333,12.1333333333333,22.7,20.2,40.4333333333333
"16","AR","Arkansas","$25,000 - $34,999",2013.5,34.55,35.4833333333333,47.8333333333333,25.7666666666667,42.4,16.7333333333333,25.2,23.3666666666667,32.35
"17","AR","Arkansas","$35,000 - $49,999",2013.5,35.3,36.7333333333333,47.1666666666667,21.4,45.3666666666667,13.0333333333333,28.6333333333333,24.2666666666667,28.4166666666667
"18","AR","Arkansas","$50,000 - $74,999",2013.5,34.3333333333333,37.75,45.3333333333333,23.5333333333333,47.7666666666667,19.5333333333333,30.2333333333333,28.5666666666667,26.4666666666667
"19","AR","Arkansas","$75,000 or greater",2013.5,30.8333333333333,39.7666666666667,44.9,20.5333333333333,53.7666666666667,21.7333333333333,30.4333333333333,31.0666666666667,18.25
"20","AR","Arkansas","Data not reported",2013.5,31.0833333333333,31.2666666666667,49.6,33.0333333333333,43.7666666666667,13.3333333333333,29.6,21.4333333333333,35.0333333333333
"21","AR","Arkansas","Less than $15,000",2013.5,40.55,25.7166666666667,55.7666666666667,36.4,37.3333333333333,11.5,24.9,18.3666666666667,43.3833333333333
"22","AZ","Arizona","$15,000 - $24,999",2013.5,33.2333333333333,34.3166666666667,43.2,25.9333333333333,45.3666666666667,17.7,28.8333333333333,25.1666666666667,32.25
"23","AZ","Arizona","$25,000 - $34,999",2013.5,26.8,35.8166666666667,39.0333333333333,23.0333333333333,51.1666666666667,19.2333333333333,31.2333333333333,27.3,24.7333333333333
