"","YearStart","LocationAbbr","LocationDesc","Question","DataValueUnit","DataValue","Question_short"
"1",2020,"PR","Puerto Rico","Current cigarette smoking among adults","%",10.5,"smoking"
"2",2019,"AZ","Arizona","Average mentally unhealthy days among adults","Number",3.2,"badDays"
"3",2019,"AR","Arkansas","Unemployment rate among people 16 years and older in the labor force","%",4.8,"unemployment"
"4",2019,"AZ","Arizona","No leisure-time physical activity among adults","%",23.6,"noActivity"
"5",2019,"AR","Arkansas","Obesity among adults","%",38,"obesity"
"6",2019,"AR","Arkansas","Living below 150% of the poverty threshold among all people","%",27.8,"poverty"
"7",2019,"AK","Alaska","No broadband internet subscription among households","%",14.1,"noInternet"
"8",2019,"AL","Alabama","Unemployment rate among people 16 years and older in the labor force","%",4.8,"unemployment"
"9",2019,"AK","Alaska","Current cigarette smoking among adults","%",17.6,"smoking"
"10",2019,"AZ","Arizona","Per capita alcohol consumption among people aged 14 years and older","gallons",2.2,"alcohol"
"11",2019,"CA","California","Binge drinking prevalence among adults","%",17.3,"BingeDrink"
"12",2019,"AK","Alaska","Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars","%",47.1,"smokeBan"
"13",2019,"AZ","Arizona","Frequent mental distress among adults","%",15,"mentalDistress"
"14",2019,"AR","Arkansas","Frequent mental distress among adults","%",18.5,"mentalDistress"
"15",2019,"AR","Arkansas","Consumed fruit less than one time daily among adults","%",45.5,"noFruit"
"16",2019,"AZ","Arizona","High school completion among adults aged 18-24","%",85.6,"highSchool"
"17",2019,"AR","Arkansas","Current cigarette smoking among adults","%",21.2,"smoking"
"18",2019,"AZ","Arizona","Consumed fruit less than one time daily among adults","%",42.2,"noFruit"
"19",2019,"AK","Alaska","Lack of health insurance among adults aged 18-64 years","%",11.7,"noInsure"
"20",2019,"AL","Alabama","Average mentally unhealthy days among adults","Number",2.4,"badDays"
"21",2019,"AK","Alaska","Living below 150% of the poverty threshold among all people","%",17.7,"poverty"
"22",2019,"AR","Arkansas","Depression among adults","%",25.6,"depression"
"23",2019,"AR","Arkansas","Food insecure in the past 12 months among households","%",15,"noFood"
"24",2019,"AK","Alaska","Consumed fruit less than one time daily among adults","%",42.1,"noFruit"
"25",2019,"AR","Arkansas","No leisure-time physical activity among adults","%",30.4,"noActivity"
"26",2019,"AR","Arkansas","Routine checkup within the past year among adults","%",77.9,"doctor"
"27",2019,"AZ","Arizona","Diseases of the heart mortality among all people, underlying cause","cases per 100,000",134,"cardioDeath"
"28",2019,"AK","Alaska","Diseases of the heart mortality among all people, underlying cause","cases per 100,000",129.7,"cardioDeath"
"29",2019,"AL","Alabama","Per capita alcohol consumption among people aged 14 years and older","gallons",2,"alcohol"
"30",2019,"AR","Arkansas","High school completion among adults aged 18-24","%",88.6,"highSchool"
"31",2019,"AL","Alabama","Lack of health insurance among adults aged 18-64 years","%",18,"noInsure"
"32",2019,"AL","Alabama","Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars","%",13.4,"smokeBan"
"33",2019,"AK","Alaska","No leisure-time physical activity among adults","%",21.6,"noActivity"
"34",2019,"AK","Alaska","Binge drinking prevalence among adults","%",16,"BingeDrink"
"35",2019,"AR","Arkansas","Diseases of the heart mortality among all people, underlying cause","cases per 100,000",226.5,"cardioDeath"
"36",2019,"AR","Arkansas","Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars","%",0.5,"smokeBan"
"37",2019,"AR","Arkansas","Binge drinking prevalence among adults","%",14.6,"BingeDrink"
"38",2019,"AK","Alaska","Consumed vegetables less than one time daily among adults","%",18.8,"noVeg"
"39",2019,"AL","Alabama","Consumed fruit less than one time daily among adults","%",46.1,"noFruit"
"40",2019,"AZ","Arizona","Current cigarette smoking among adults","%",15.5,"smoking"
"41",2019,"AZ","Arizona","Unemployment rate among people 16 years and older in the labor force","%",4.9,"unemployment"
"42",2019,"AZ","Arizona","Living below 150% of the poverty threshold among all people","%",21.9,"poverty"
"43",2019,"AK","Alaska","High school completion among adults aged 18-24","%",87,"highSchool"
"44",2019,"AK","Alaska","Routine checkup within the past year among adults","%",70.3,"doctor"
"45",2019,"AZ","Arizona","Lack of health insurance among adults aged 18-64 years","%",19,"noInsure"
"46",2019,"AR","Arkansas","Consumed vegetables less than one time daily among adults","%",21.4,"noVeg"
"47",2019,"AK","Alaska","Unemployment rate among people 16 years and older in the labor force","%",5.6,"unemployment"
"48",2019,"AL","Alabama","No broadband internet subscription among households","%",18.4,"noInternet"
"49",2019,"AL","Alabama","Frequent mental distress among adults","%",18.2,"mentalDistress"
"50",2019,"AL","Alabama","No leisure-time physical activity among adults","%",30.8,"noActivity"
"51",2019,"AK","Alaska","Average mentally unhealthy days among adults","Number",3.7,"badDays"
"52",2019,"AZ","Arizona","Binge drinking prevalence among adults","%",16,"BingeDrink"
"53",2019,"AL","Alabama","Routine checkup within the past year among adults","%",76.8,"doctor"
"54",2019,"AL","Alabama","Consumed vegetables less than one time daily among adults","%",22,"noVeg"
"55",2019,"CA","California","Diseases of the heart mortality among all people, underlying cause","cases per 100,000",136.9,"cardioDeath"
"56",2019,"AR","Arkansas","Per capita alcohol consumption among people aged 14 years and older","gallons",1.8,"alcohol"
"57",2019,"AZ","Arizona","Obesity among adults","%",31.9,"obesity"
"58",2019,"AZ","Arizona","Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars","%",100,"smokeBan"
