"","country","countryLong","year","mismanagedTotal","coastalPop","totalPop","mismanagedPerCap","gdpPerCap","totWastePerCap"
"2","AGO","Angola",2010,62528,3790041,19081912,0.045,5897.68284059848,0.062
"4","ALB","Albania",2010,29705,2530533,3204284,0.032,9927.18184117512,0.069
"6","ARE","United Arab Emirates",2010,3016,2018302,7511690,0.004,57232.6180757649,0.199
"7","ARG","Argentina",2010,157777,16449245,40412376,0.026,18712.0630773436,0.183
"8","ATG","Antigua and Barbuda",2010,1253,66843,88710,0.051,19212.7201307541,0.66
"9","AUS","Australia",2010,13889,17235954,22268384,0.002,41464.0400696359,0.112
"10","BEL","Belgium",2010,2743,4747957,10712066,0.002,41085.9189401366,0.08
"11","BEN","Benin",2010,43015,3235418,8849892,0.036,1818.77846075906,0.043
"12","BGD","Bangladesh",2010,787327,70874124,148692131,0.03,2442.72888765696,0.034
"13","BGR","Bulgaria",2010,18739,1002695,7494332,0.051,15283.2914751664,0.154
"14","BHR","Bahrain",2010,4376,743574,1261835,0.016,40570.5356928307,0.132
"15","BHS","Bahamas",2010,1333,341145,342877,0.011,29221.9911816149,0.39
"16","BIH","Bosnia and Herzegovina",2010,12955,585582,3760149,0.061,9720.34217718095,0.144
"17","BLZ","Belize",2010,3892,202429,311627,0.053,7876.80958597644,0.172
"18","BMU","Bermuda",2010,123,66966,64941,0.005,56395.0078003539,0.252
"19","BRA","Brazil",2010,471404,74696771,194946470,0.017,14537.5671930903,0.165
"20","BRB","Barbados",2010,3483,276784,273331,0.034,16417.9624523108,0.57
"21","BRN","Brunei",2010,93,359871,398920,0.001,80552.8644713138,0.026
"22","CAN","Canada",2010,7959,11846863,34016593,0.002,40699.3551293841,0.093
"24","CHL","Chile",2010,21754,5621550,17113688,0.011,19442.0503154635,0.119
"25","CHN","China",2010,8819717,262892387,1341335152,0.092,9525.81848339164,0.121
"26","CIV","Cote d'Ivoire",2010,194558,6230583,19737800,0.086,2690.25800198952,0.103
"27","CMR","Cameroon",2010,27713,1986723,19598889,0.038,2929.82911281962,0.046
"28","COD","Democratic Republic of Congo",2010,15208,1076056,65965795,0.039,660.210955818272,0.045
"29","COG","Congo",2010,16766,847807,4042899,0.054,5186.34478845194,0.069
"31","COL","Colombia",2010,92173,7498563,46294841,0.034,10900.5052821616,0.144
"32","COM","Comoros",2010,58032,938595,734750,0.169,1412.50268663997,0.201
"33","CPV","Cape Verde",2010,9347,522245,495999,0.049,5828.24158804338,0.065
"34","CRI","Costa Rica",2010,42090,2479298,4658887,0.047,12999.9921931442,0.258
"39","CYP","Cyprus",2010,1821,840556,1103647,0.006,33941.1380158355,0.248
"40","DEU","Germany",2010,31239,8837035,82302465,0.01,40428.7210307617,0.485
"42","DMA","Dominica",2010,783,70138,67757,0.031,10198.2733729326,0.149
"43","DNK","Denmark",2010,1791,5376386,5550142,0.001,43998.4366716285,0.047
"44","DOM","Dominican Republic",2010,118226,8232586,9927320,0.039,11132.5526905467,0.144
"45","DZA","Algeria",2010,520555,16556580,35468208,0.086,12870.6026985154,0.144
"46","ECU","Ecuador",2010,109383,6400048,14464739,0.047,9352.34423681593,0.147
"47","EGY","Egypt",2010,967012,21750943,81121077,0.122,9857.46828190066,0.178
"48","ERI","Eritrea",2010,16259,1266222,5253676,0.035,1416.36580154238,0.045
"49","ESP","Spain",2010,45853,22771488,46076989,0.006,32507.0939660629,0.277
"50","EST","Estonia",2010,5979,878021,1341140,0.019,22740.9720038708,0.176
"51","FIN","Finland",2010,4985,2927674,5364546,0.005,39848.1344978775,0.234
"52","FJI","Fiji",2010,49257,896145,860623,0.151,7352.08836002372,0.189
"54","FRA","France",2010,24109,17287280,62787427,0.004,36855.8446824064,0.192
"57","GAB","Gabon",2010,6087,862328,1505463,0.019,15355.7846497731,0.054
"58","GBR","United Kingdom",2010,67549,43258889,62035570,0.004,36366.9831782522,0.215
"59","GEO","Georgia",2010,14472,1124249,4352244,0.035,6733.78376130988,0.068
"61","GHA","Ghana",2010,91571,7727702,24391823,0.032,3059.38362640541,0.04
"63","GIN","Guinea",2010,18514,1996496,9981590,0.025,1573.54495756823,0.03
"65","GMB","Gambia",2010,19616,1324214,1728394,0.041,1644.24236613493,0.048
"66","GNB","Guinea-Bissau",2010,20240,1208106,1515224,0.046,1400.36329312665,0.054
"67","GNQ","Equatorial Guinea",2010,5977,351600,700401,0.047,33723.3658030152,0.144
"68","GRC","Greece",2010,14229,9794702,11359346,0.004,28726.0792836873,0.2
"69","GRD","Grenada",2010,2248,96121,104487,0.064,11177.9997155594,0.325
"71","GTM","Guatemala",2010,91563,2392442,14388929,0.105,6714.0635955465,0.28
"74","GUY","Guyana",2010,42002,513235,754493,0.224,5847.85725499679,0.586
"75","HKG","Hong Kong",2010,28512,7573074,7053189,0.01,48107.7086333279,0.398
"76","HND","Honduras",2010,95638,3324144,7600524,0.079,3971.18299352727,0.189
"77","HRV","Croatia",2010,16461,1602782,4403330,0.028,20171.9575294867,0.252
"78","HTI","Haiti",2010,147389,9155693,9993247,0.044,1502.03271141224,0.09
"79","IDN","Indonesia",2010,3216856,187223476,239870937,0.047,8433.49735678452,0.057
"80","IND","India",2010,599819,187493433,1224614327,0.009,4404.69700530387,0.01
"81","IRL","Ireland",2010,11710,3749576,4469900,0.009,44030.4141487055,0.43
"82","IRN","Iran",2010,247403,9099695,73973630,0.074,17942.8328426143,0.144
"83","IRQ","Iraq",2010,15563,639228,31671591,0.067,12717.5975271684,0.103
"84","ISL","Iceland",2010,598,292708,320136,0.006,38978.0055953415,0.281
"85","ISR","Israel",2010,19007,6677810,7418400,0.008,29743.0058727916,0.297
"86","ITA","Italy",2010,32761,33822532,60550848,0.003,36201.1615672134,0.134
"87","JAM","Jamaica",2010,10019,2820558,2741052,0.01,7996.01948795873,0.034
"88","JOR","Jordan",2010,1737,55392,6187227,0.086,9472.76832624669,0.144
"89","JPN","Japan",2010,143121,115228891,126535920,0.003,35749.7566788784,0.171
"90","KEN","Kenya",2010,22658,2729945,40512682,0.023,2476.01074216401,0.027
"91","KHM","Cambodia",2010,29686,1391254,14138255,0.058,2522.92682475402,0.066
"92","KIR","Kiribati",2010,3045,94487,99546,0.088,1731.53862650466,0.103
"93","KNA","Saint Kitts and Nevis",2010,715,36102,52402,0.054,21412.201453108,0.654
"94","KOR","South Korea",2010,33747,41654619,48183584,0.001,30352.1048190303,0.112
"95","KWT","Kuwait",2010,11489,2293604,2736732,0.014,75204.145116617,0.686
"96","LBN","Lebanon",2010,47815,3890871,4227597,0.034,16451.7598336606,0.094
"97","LBR","Liberia",2010,56728,2148271,3994122,0.072,699.653721510599,0.084
"98","LBY","Libya",2010,52779,4050128,6355112,0.036,29630.2221484622,0.144
"99","LCA","Saint Lucia",2010,6709,163227,174267,0.113,12123.8351390475,0.522
"100","LKA","Sri Lanka",2010,1591179,14568174,20859949,0.299,8529.57144219453,0.357
"101","LTU","Lithuania",2010,3479,443894,3323611,0.021,21070.6343301646,0.132
"102","LVA","Latvia",2010,10284,1432078,2252060,0.02,18251.9532813473,0.124
"103","MAC","Macao",2010,698,257911,543656,0.007,98184.3365009534,0.368
"104","MAR","Morocco",2010,310126,17303431,31951412,0.049,6443.25361319481,0.073
"106","MDG","Madagascar",2010,34522,7062413,20713819,0.013,1385.68507168039,0.016
"107","MDV","Maldives",2010,31469,392567,315885,0.22,12005.5046183167,0.322
"108","MEX","Mexico",2010,101343,22647771,113423047,0.012,15715.9721449501,0.087
"109","MHL","Marshall Islands",2010,3187,58086,54038,0.15,3479.15530340683,0.192
"110","MLT","Malta",2010,2620,404707,416515,0.018,28364.7993209208,0.214
"111","MMR","Myanmar",2010,458269,18988522,47963012,0.066,3721.21144009279,0.075
"112","MNE","Montenegro",2010,4416,260336,631490,0.046,14034.5845640087,0.144
"114","MOZ","Mozambique",2010,45995,9566559,23390765,0.013,917.763832040531,0.015
"115","MRT","Mauritania",2010,13854,1005481,3459773,0.038,3316.97478042489,0.045
"118","MUS","Mauritius",2010,56051,1255952,1299172,0.122,15938.4192089782,0.23
"119","MYS","Malaysia",2010,936818,22890252,28401017,0.112,21107.2679372523,0.198
"120","NAM","Namibia",2010,5480,155084,2283289,0.097,8460.84736812378,0.144
"123","NGA","Nigeria",2010,851493,27477112,158423182,0.085,5150.15881822763,0.103
"124","NIC","Nicaragua",2010,84415,3482653,5788163,0.066,4028.71208738128,0.143
"126","NLD","Netherlands",2010,27700,8971770,16612988,0.008,45524.6621425733,0.424
"127","NOR","Norway",2010,8403,4131679,4883111,0.006,62350.4107068751,0.28
